flag,category,severity,alignment_confidence,alignment_tier,exact_or_best_effort,alignment_source,alignment_key_used,ticker,date,task_id,adapters_involved,source_fields,source_atoms,detail,limitation
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=JNJ, date=2026-07-06) exact",JNJ,2026-07-06,,"deepalpha,fingpt","q1.action,q2.risk_level",,deepalpha says BUY on JNJ/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=JNJ, date=2026-07-06) exact",JNJ,2026-07-06,,"deepalpha,nofx","q1.action,q2.risk_level",,deepalpha says BUY on JNJ/2026-07-06; nofx reports risk_level=EXTREME,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=JNJ, date=2026-07-06) exact",JNJ,2026-07-06,,"deepalpha,tradingagents","q1.action,q2.risk_level",,deepalpha says BUY on JNJ/2026-07-06; tradingagents reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=MSFT, date=2026-07-06) exact",MSFT,2026-07-06,,"deepalpha,fingpt","q1.action,q2.risk_level",,deepalpha says BUY on MSFT/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=NVDA, date=2026-07-06) exact",NVDA,2026-07-06,,"deepalpha,fingpt","q1.action,q2.risk_level",,deepalpha says BUY on NVDA/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=NVDA, date=2026-07-06) exact",NVDA,2026-07-06,,"deepalpha,nofx","q1.action,q2.risk_level",,deepalpha says BUY on NVDA/2026-07-06; nofx reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=GLD, date=2026-07-06) exact",GLD,2026-07-06,,"nofx,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on GLD/2026-07-06; nofx reports risk_level=EXTREME,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=JPM, date=2026-07-06) exact",JPM,2026-07-06,,"fingpt,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on JPM/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=JPM, date=2026-07-06) exact",JPM,2026-07-06,,"nofx,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on JPM/2026-07-06; nofx reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=MSFT, date=2026-07-06) exact",MSFT,2026-07-06,,"fingpt,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on MSFT/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=NVDA, date=2026-07-06) exact",NVDA,2026-07-06,,"fingpt,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on NVDA/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=NVDA, date=2026-07-06) exact",NVDA,2026-07-06,,"nofx,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on NVDA/2026-07-06; nofx reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=SPY, date=2026-07-06) exact",SPY,2026-07-06,,"fingpt,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on SPY/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=XOM, date=2026-07-06) exact",XOM,2026-07-06,,"fingpt,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on XOM/2026-07-06; fingpt reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
BUY_WITH_HIGH_RISK,cross_question,high,exact,exact,exact,schema,"(ticker=XOM, date=2026-07-06) exact",XOM,2026-07-06,,"nofx,tradingagents","q1.action,q2.risk_level",,tradingagents says BUY on XOM/2026-07-06; nofx reports risk_level=HIGH,"exact (ticker, date) join across Q1/Q2 — no approximation."
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=NVDA in known universe,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"agentictrading,alphagen","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,alphagen LONG on NVDA; agentictrading validation_status=weak (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=NVDA in known universe,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"alphagen,finrl","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,alphagen LONG on NVDA; finrl validation_status=weak (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=NVDA in known universe,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"alphagen,prediction_arena","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,alphagen LONG on NVDA; prediction_arena validation_status=fail (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=NVDA in known universe,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"alphagen,vibe_trading","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,alphagen LONG on NVDA; vibe_trading validation_status=weak (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=JNJ in known universe,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"agentictrading,deepalpha","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,deepalpha LONG on JNJ; agentictrading validation_status=weak (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=JNJ in known universe,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"deepalpha,finrl","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,deepalpha LONG on JNJ; finrl validation_status=weak (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
LONG_WITH_WEAK_VALIDATION,cross_question,medium,context_exact,context_exact,best_effort,none,task_id=observation_batch_day1__2026-07-06 + ctx_alignment_source=index_csv confirmed ticker=JNJ in known universe,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"deepalpha,prediction_arena","q3.direction,q5.total_return,q5.sharpe,q5.max_drawdown,q5.win_rate",,deepalpha LONG on JNJ; prediction_arena validation_status=fail (task observation_batch_day1__2026-07-06),Q5Backtest has no ticker/date field in CONTRACT/schemas.py. Joined on task_id (upgraded to context_exact when analysis/icaif_alignment.py confirms the ticker is a member of the batch's known portfolio_universe) — never a guarantee the Q5 backtest is really about this adapter's strategy for this ticker.
