Project,原始能力,旧Adapter丢失内容,本次恢复内容,Q覆盖变化,Native/Derived,Harness结果,剩余损失,分类
ai-hedge-fund (ai_hedge_fund_adapter.py),PortfolioDecision.quantity per-ticker order size,already recovered in prior wave,re-verified live this pass only; no new change,Q1 unchanged,NATIVE,PASSED (live: action=HOLD target_position=0.0),none new,RECOVERED (prior pass)
AgenticTrading (agentictrading_adapter.py),Real mean-variance tangency weights + full policy metadata,none; already fully migrated,re-verified live this pass only; no new change,Q4 unchanged,NATIVE,PASSED (live: STATIC_ALLOCATION weights AAPL:1.0 CASH:0.0),none new,RECOVERED (prior pass)
Vibe-Trading (vibe_trading_adapter.py),Real daily positions.csv/trades.csv trajectory,v1/pre-fix code read only last row,already fixed prior pass (385-day trajectory); not touched this pass,Q3+Q4 unchanged,NATIVE,PASSED (385 real decisions 0 causality violations),none new,RECOVERED (prior pass)
QuantMuse (quantmuse_adapter.py; renamed from nofx_adapter.py),Real 17-indicator technical factor dict (RSI/MACD/MAs/Bollinger/momentum),RSI computed but only ever in evidence text not as queryable signal,RSI-14 recovered as Q3Signal.values[ticker],+Q3 (was Q2-only),NATIVE,PASSED (15/15 smoke_test checks),none found within QuantMuse,RECOVERED
real nofx (NoFxAiOS/nofx),Multi-provider LLM trading over a live stateful server,adapter never wrapped real nofx at all (wrapped QuantMuse instead),none -- re-verified live still un-wrappable (Go 278 files zero Python surface no point-in-time query API),N/A,N/A,BLOCKED -- no honest thin-wrapper surface exists,Real nofx remains entirely unwrapped; documented in quantmuse_adapter.py docstring addendum,UPSTREAM-MODIFICATION-ONLY
finclaw (finclaw_adapter.py),"Real StrategyDNA fields: score_stock() formula, min_score gate, hold_days, max_positions, capital_utilization, sector_max_pct",Q4 was artifact-only; decision_policy/universe_policy/observation_policy/constraints all missing,"Full Q4 enrichment: real decision_policy, universe_policy, observation_policy, constraints",Q4 richness up (artifact-only -> full policy),NATIVE,PASSED (18/18 smoke_test; live CLI wrote finclaw.json 12265 bytes),dna.sector_max_pct declared but never read in evaluate() -- correctly excluded not fabricated,RECOVERED
finclaw (finclaw_adapter.py),dna.sector_max_pct constraint field,not applicable (was never surfaced by any version),declined -- verified via grep it is dead code in evaluate() path,none,N/A,PASSED (correctly excluded),Real field exists in dataclass but has no effect on executed logic,INTERNAL-NOT-PUBLIC
FinRL-Trading / adaptive_rotation (finrl_x_adapter.py),Real RegimeResult.cash_floor,only ever appeared in prose explanation text not as structured value,"regime_recommended_cash_floor StateEstimate recovered, real value_numeric=cash_floor",Q2 richness up (1 state -> 2 states),NATIVE,PASSED (17/17 smoke_test; live q2_state print confirmed),none found,RECOVERED
Qlib (qlib_adapter.py),Real TopkDropoutStrategy-driven daily rebalancing policy,Q4 entirely absent (Q3-only),Full real Q4 recovered via unmodified qlib.backtest.backtest_loop(),+Q4 (was Q3-only),NATIVE,PASSED (16/16 smoke_test; live run 24 real decisions 0 causality violations),Required a real adapter-side data-fetch-window bug fix (calendar buffer) -- documented not a limitation,RECOVERED
atlas (atlas_adapter.py),Real complete validation-accepted individual set from GPProcess.run(),truncated to top-3 (best + 2 runners-up),Full accepted-formula set recovered in evidence + native_output,Q3 richness up,NATIVE,PASSED (12/12 smoke_test; live run shows real Accepted/Not-Accepted log),Per-generation Logbook stats + per-batch best-individual history are real local vars never returned -- no public accessor,RECOVERED
atlas (atlas_adapter.py),Per-generation DEAP Logbook statistics + per-batch best-individual history,never surfaced (no public accessor ever existed),not recovered -- documented as internal-only,none,N/A,N/A (documented limitation),Would require monkey-patching or reimplementing GPProcess.run()'s batch loop,INTERNAL-NOT-PUBLIC
AlphaGen (alphagen_adapter.py),Real LinearAlphaPool.update_history (AddRemoveAlphas log),never read anywhere in the adapter,Pool search trajectory recovered: full structured history in native_output + bounded evidence summary,Q3 richness up,NATIVE,PASSED (13/13 smoke_test),none found,RECOVERED
RD-Agent (rdagent_adapter.py),"Real per-stage FactorSingleFeedback fields: execution_feedback, value_feedback, code_feedback",only combined final_decision/final_feedback pair surfaced,3 richer per-stage feedback fields recovered as EvidenceItems,Q3 richness up,NATIVE,PASSED (12/12 smoke_test; live run made real DeepSeek calls),none found,RECOVERED
stock-market-prediction-engine (deepalpha_adapter.py),Real RealTimePredictionEngine.generate_predictions(): model_agreement + confidence_interval + confidence_label,adapter hand-reimplemented model_agreement formula instead of calling real function; confidence_interval never read,Switched to calling the real function directly; real confidence_interval recovered as evidence on Q1+Q3,Q1+Q3 richness up,NATIVE,PASSED (11/11 smoke_test; live run confirmed real generate_predictions() call + real interval bounds),confidence_label declined -- real function but scale-inconsistent threshold (percent vs fractional) under this adapter's real usage,RECOVERED
stock-market-prediction-engine (deepalpha_adapter.py),predictions['primary']['confidence'] text label (high/medium/low),not applicable (adapter never called generate_predictions before this pass),declined -- verified real scale mismatch (Config.signal_threshold_pct is percent-scaled vs fractional predictions),none,N/A,PASSED (correctly declined not fabricated),Would silently mislabel nearly every real prediction 'low',INTERNAL-NOT-PUBLIC
TradingAgents (tradingagents_adapter.py),Real 3-way risk-debate transcript (aggressive/conservative/neutral),100% discarded -- no dedicated field never captured anywhere,Recovered as 3 EvidenceItems verified as real direct input to Portfolio Manager's own prompt,Q1 richness up,NATIVE,PASSED (13/13 smoke_test; live CLI shows real LLM debate text),none found,RECOVERED
TradingAgents (tradingagents_adapter.py),Structured PortfolioDecision/SentimentReport Pydantic objects,regex-parsed from rendered markdown (unchanged approach),not recovered -- re-confirmed via source these never reach graph state,none,N/A,N/A (documented limitation reconfirmed),render_pm_decision/render_sentiment_report convert to markdown immediately; no lower-loss route exists,INTERNAL-NOT-PUBLIC
FinGPT v3.1 (fingpt_adapter.py),Real per-headline sentiment scores up to MAX_HEADLINES=5,truncated to top-3 by |label|,All scored headlines recovered (already-bounded set no unbounded-evidence risk),Q2 richness up,NATIVE,PASSED (9/9 smoke_test; real ChatGLM2 model load+inference),Per-class logits/confidence genuinely uncaptured (greedy decode only) -- not attempted this pass,ABSENT (would need materially more work; deferred)
Metaculus/forecasting-tools + Kalshi (prediction_arena_adapter.py),Real Kalshi market dict + real DeepSeek forecast dict (incl. cost_usd),no run() override at all -- native_output silently defaulted to {},run() override added to capture real market+forecast as native_output,Q2 unchanged in content provenance fixed,NATIVE,PASSED (10/10 smoke_test incl. new native_output check),none found,RECOVERED
Metaculus/forecasting-tools + Kalshi (prediction_arena_adapter.py),Real litellm per-call cost tracking (report.price_estimate),computed into local dict but never surfaced,cost_usd recovered as EvidenceItem(kind=llm_cost_usd),Q2 evidence richness up,NATIVE,PASSED (part of 10/10 smoke_test),none found,RECOVERED
FinRL (finrl_adapter.py),Real daily action-memory trajectory from DRLAgent.DRL_prediction(),only last row ever used,"reviewed, intentionally NOT recovered -- full trajectory is in-sample replay through the training window itself",Q4 unchanged,NATIVE,PASSED (10/10 smoke_test; real A2C training confirmed),Exposing the trajectory as causal per-day decisions would violate no-future-information rule -- correctly left single-point,ABSENT (exposing it would be a fabrication of causal validity it doesn't have)
example_stub_adapter.py,N/A -- reference template no upstream wired up,N/A,N/A -- confirmed not a real adapter out of scope,N/A,N/A,NOT_RUN (out of scope),N/A,N/A
